generation,population,fitness_score
8,"Skip, Leave, Safe, Kill, Free, Free, Join, Leave, Skip, Move",1
8,"Kill, Die, Die, Move, Goal, Die, Goal, Join, Skip, Safe",1
8,"Free, Nothing, Move, Kill, Goal, Safe, Join, Nothing, Skip, Move",1
8,"Kill, Nothing, Move, Leave, Free, Die, Free, Goal, Nothing, Safe",1
8,"Skip, Die, Safe, Kill, Free, Free, Free, Leave, Skip, Safe",1
9,"Skip, Nothing, Safe, Leave, Free, Free, Join, Leave, Skip, Move",1
9,"Skip, Nothing, Safe, Kill, Free, Free, Join, Leave, Skip, Move",1
9,"Kill, Die, Die, Leave, Free, Die, Goal, Join, Skip, Safe",1
9,"Skip, Die, Safe, Kill, Free, Free, Free, Leave, Skip, Safe",1
9,"Kill, Die, Die, Move, Free, Die, Goal, Join, Skip, Safe",1
10,"Kill, Die, Die, Move, Free, Die, Goal, Leave, Skip, Safe",1
10,"Skip, Die, Die, Move, Free, Die, Goal, Leave, Skip, Safe",1
10,"Skip, Leave, Safe, Kill, Goal, Move, Free, Leave, Skip, Safe",1
10,"Skip, Nothing, Safe, Leave, Free, Free, Free, Leave, Skip, Move",1
10,"Kill, Die, Die, Move, Free, Die, Goal, Join, Skip, Safe",1
11,"Skip, Nothing, Safe, Leave, Free, Free, Free, Leave, Skip, Move",1
11,"Skip, Die, Die, Kill, Free, Free, Free, Leave, Skip, Safe",1
11,"Skip, Nothing, Safe, Leave, Goal, Move, Join, Leave, Skip, Move",1
11,"Skip, Leave, Safe, Leave, Free, Free, Free, Leave, Skip, Move",1
11,"Kill, Nothing, Die, Leave, Free, Die, Goal, Join, Skip, Safe",1
12,"Skip, Die, Safe, Kill, Free, Free, Free, Leave, Skip, Safe",1
12,"Skip, Nothing, Safe, Leave, Free, Free, Free, Leave, Skip, Move",1
12,"Skip, Die, Safe, Kill, Goal, Move, Free, Leave, Skip, Safe",1
12,"Kill, Nothing, Die, Leave, Free, Die, Goal, Join, Skip, Safe",1
12,"Skip, Nothing, Safe, Kill, Goal, Move, Free, Leave, Skip, Safe",1
13,"Skip, Nothing, Die, Leave, Free, Die, Free, Join, Skip, Move",1
13,"Skip, Leave, Safe, Kill, Goal, Move, Free, Leave, Skip, Safe",1
13,"Skip, Nothing, Safe, Leave, Free, Free, Free, Leave, Skip, Safe",1
13,"Kill, Die, Die, Leave, Free, Die, Goal, Leave, Skip, Safe",1
13,"Kill, Die, Die, Leave, Free, Die, Goal, Join, Skip, Safe",1
14,"Skip, Nothing, Safe, Leave, Free, Free, Free, Join, Skip, Safe",1
14,"Skip, Leave, Safe, Kill, Goal, Move, Free, Leave, Skip, Safe",1
14,"Kill, Die, Die, Leave, Free, Die, Goal, Join, Skip, Safe",1
14,"Kill, Die, Safe, Leave, Free, Die, Goal, Join, Skip, Safe",1
14,"Skip, Die, Safe, Leave, Goal, Die, Free, Leave, Skip, Safe",1
15,"Kill, Die, Die, Leave, Free, Die, Goal, Join, Skip, Safe",1
15,"Kill, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
15,"Skip, Nothing, Die, Leave, Free, Free, Goal, Join, Skip, Safe",1
15,"Skip, Die, Safe, Leave, Free, Free, Free, Leave, Skip, Safe",1
15,"Skip, Nothing, Safe, Leave, Free, Free, Free, Join, Skip, Safe",1
16,"Kill, Die, Safe, Leave, Free, Die, Free, Join, Skip, Safe",1
16,"Skip, Nothing, Safe, Leave, Goal, Die, Free, Join, Skip, Safe",1
16,"Kill, Die, Die, Leave, Free, Die, Goal, Join, Skip, Safe",1
16,"Kill, Die, Die, Leave, Free, Free, Goal, Join, Skip, Safe",1
16,"Skip, Die, Die, Leave, Free, Die, Goal, Join, Skip, Safe",1
17,"Skip, Nothing, Safe, Leave, Free, Die, Free, Join, Skip, Safe",1
17,"Kill, Die, Die, Leave, Free, Die, Free, Leave, Skip, Safe",1
17,"Kill, Die, Die, Leave, Free, Die, Goal, Join, Skip, Safe",1
17,"Kill, Die, Die, Leave, Free, Die, Goal, Join, Skip, Safe",1
17,"Kill, Die, Die, Leave, Free, Die, Goal, Join, Skip, Safe",1
18,"Skip, Nothing, Safe, Leave, Goal, Die, Free, Join, Skip, Safe",1
18,"Kill, Die, Die, Leave, Free, Die, Goal, Join, Skip, Safe",1
18,"Kill, Die, Die, Leave, Free, Die, Goal, Join, Skip, Safe",1
18,"Skip, Nothing, Die, Leave, Free, Free, Goal, Join, Skip, Safe",1
18,"Skip, Nothing, Safe, Leave, Free, Free, Free, Join, Skip, Safe",1
19,"Skip, Nothing, Safe, Leave, Free, Free, Free, Join, Skip, Safe",1
19,"Skip, Nothing, Safe, Leave, Free, Free, Free, Join, Skip, Safe",1
19,"Skip, Nothing, Safe, Leave, Free, Free, Free, Join, Skip, Safe",1
19,"Kill, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
19,"Kill, Die, Safe, Leave, Free, Die, Goal, Join, Skip, Safe",1
20,"Skip, Nothing, Safe, Leave, Free, Free, Free, Join, Skip, Safe",1
20,"Kill, Nothing, Safe, Leave, Free, Die, Goal, Leave, Skip, Safe",1
20,"Skip, Nothing, Die, Leave, Free, Free, Goal, Join, Skip, Safe",1
20,"Skip, Nothing, Safe, Leave, Goal, Die, Free, Join, Skip, Safe",1
20,"Kill, Nothing, Safe, Leave, Goal, Die, Free, Leave, Skip, Safe",1
21,"Skip, Nothing, Safe, Leave, Free, Free, Free, Join, Skip, Safe",1
21,"Kill, Nothing, Safe, Leave, Free, Free, Free, Join, Skip, Safe",1
21,"Skip, Nothing, Safe, Leave, Goal, Free, Free, Join, Skip, Safe",1
21,"Kill, Nothing, Safe, Leave, Free, Die, Goal, Join, Skip, Safe",1
21,"Kill, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
22,"Kill, Nothing, Safe, Leave, Free, Free, Free, Join, Skip, Safe",1
22,"Skip, Nothing, Safe, Leave, Free, Free, Free, Join, Skip, Safe",1
22,"Kill, Nothing, Safe, Leave, Free, Die, Goal, Leave, Skip, Safe",1
22,"Kill, Nothing, Safe, Leave, Free, Die, Goal, Leave, Skip, Safe",1
22,"Kill, Nothing, Safe, Leave, Free, Free, Free, Join, Skip, Safe",1
23,"Kill, Nothing, Safe, Leave, Free, Free, Free, Join, Skip, Safe",1
23,"Kill, Nothing, Safe, Leave, Free, Free, Goal, Join, Skip, Safe",1
23,"Skip, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
23,"Kill, Nothing, Safe, Leave, Free, Die, Goal, Leave, Skip, Safe",1
23,"Kill, Nothing, Safe, Leave, Free, Die, Goal, Leave, Skip, Safe",1
24,"Skip, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
24,"Kill, Nothing, Safe, Leave, Free, Die, Goal, Leave, Skip, Safe",1
24,"Kill, Nothing, Safe, Leave, Free, Die, Free, Join, Skip, Safe",1
24,"Kill, Die, Safe, Leave, Free, Die, Goal, Join, Skip, Safe",1
24,"Kill, Nothing, Safe, Leave, Free, Die, Free, Join, Skip, Safe",1
25,"Kill, Nothing, Safe, Leave, Free, Die, Goal, Leave, Skip, Safe",1
25,"Skip, Nothing, Safe, Leave, Free, Free, Free, Join, Skip, Safe",1
25,"Kill, Nothing, Safe, Leave, Free, Die, Free, Join, Skip, Safe",1
25,"Kill, Nothing, Safe, Leave, Free, Die, Goal, Leave, Skip, Safe",1
25,"Kill, Nothing, Safe, Leave, Free, Die, Goal, Leave, Skip, Safe",1
26,"Kill, Nothing, Safe, Leave, Free, Die, Goal, Leave, Skip, Safe",1
26,"Kill, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
26,"Kill, Die, Safe, Leave, Free, Die, Goal, Join, Skip, Safe",1
26,"Skip, Die, Safe, Leave, Free, Free, Free, Join, Skip, Safe",1
26,"Skip, Nothing, Safe, Leave, Free, Die, Free, Join, Skip, Safe",1
27,"Skip, Nothing, Safe, Leave, Free, Die, Free, Join, Skip, Safe",1
27,"Kill, Nothing, Safe, Leave, Free, Die, Free, Join, Skip, Safe",1
27,"Kill, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
27,"Kill, Nothing, Safe, Leave, Free, Die, Goal, Leave, Skip, Safe",1
27,"Kill, Nothing, Safe, Leave, Free, Die, Goal, Leave, Skip, Safe",1
28,"Kill, Nothing, Safe, Leave, Free, Die, Goal, Leave, Skip, Safe",1
28,"Skip, Nothing, Safe, Leave, Free, Die, Free, Join, Skip, Safe",1
28,"Kill, Die, Safe, Leave, Free, Free, Goal, Leave, Skip, Safe",1
28,"Kill, Nothing, Safe, Leave, Free, Die, Goal, Leave, Skip, Safe",1
28,"Kill, Nothing, Safe, Leave, Free, Die, Goal, Leave, Skip, Safe",1
29,"Kill, Nothing, Safe, Leave, Free, Die, Goal, Leave, Skip, Safe",1
29,"Kill, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
29,"Kill, Nothing, Safe, Leave, Free, Die, Goal, Join, Skip, Safe",1
29,"Kill, Nothing, Safe, Leave, Free, Die, Free, Join, Skip, Safe",1
29,"Skip, Nothing, Safe, Leave, Free, Die, Free, Join, Skip, Safe",1
30,"Skip, Die, Safe, Leave, Free, Free, Goal, Leave, Skip, Safe",1
30,"Kill, Nothing, Safe, Leave, Free, Die, Goal, Leave, Skip, Safe",1
30,"Skip, Nothing, Safe, Leave, Free, Die, Free, Join, Skip, Safe",1
30,"Skip, Nothing, Safe, Leave, Free, Die, Free, Join, Skip, Safe",1
30,"Skip, Nothing, Safe, Leave, Free, Die, Free, Join, Skip, Safe",1
31,"Skip, Nothing, Safe, Leave, Free, Die, Free, Join, Skip, Safe",1
31,"Kill, Nothing, Safe, Leave, Free, Die, Goal, Leave, Skip, Safe",1
31,"Skip, Nothing, Safe, Leave, Free, Die, Free, Join, Skip, Safe",1
31,"Skip, Nothing, Safe, Leave, Free, Free, Free, Leave, Skip, Safe",1
31,"Kill, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
32,"Kill, Nothing, Safe, Leave, Free, Die, Goal, Leave, Skip, Safe",1
32,"Skip, Nothing, Safe, Leave, Free, Die, Free, Join, Skip, Safe",1
32,"Skip, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
32,"Kill, Nothing, Safe, Leave, Free, Die, Goal, Leave, Skip, Safe",1
32,"Kill, Nothing, Safe, Leave, Free, Die, Goal, Leave, Skip, Safe",1
33,"Skip, Nothing, Safe, Leave, Free, Free, Free, Leave, Skip, Safe",1
33,"Skip, Nothing, Safe, Leave, Free, Die, Free, Join, Skip, Safe",1
33,"Skip, Nothing, Safe, Leave, Free, Die, Free, Join, Skip, Safe",1
33,"Kill, Nothing, Safe, Leave, Free, Die, Goal, Leave, Skip, Safe",1
33,"Kill, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
34,"Skip, Nothing, Safe, Leave, Free, Die, Free, Join, Skip, Safe",1
34,"Skip, Nothing, Safe, Leave, Free, Die, Free, Join, Skip, Safe",1
34,"Skip, Nothing, Safe, Leave, Free, Free, Free, Leave, Skip, Safe",1
34,"Kill, Nothing, Safe, Leave, Free, Die, Goal, Leave, Skip, Safe",1
34,"Kill, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
35,"Kill, Nothing, Safe, Leave, Free, Die, Goal, Leave, Skip, Safe",1
35,"Kill, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
35,"Skip, Nothing, Safe, Leave, Free, Die, Free, Join, Skip, Safe",1
35,"Kill, Nothing, Safe, Leave, Free, Free, Free, Leave, Skip, Safe",1
35,"Kill, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
36,"Skip, Nothing, Safe, Leave, Free, Free, Free, Leave, Skip, Safe",1
36,"Skip, Nothing, Safe, Leave, Free, Die, Free, Join, Skip, Safe",1
36,"Kill, Nothing, Safe, Leave, Free, Die, Goal, Leave, Skip, Safe",1
36,"Skip, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
36,"Kill, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
37,"Kill, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
37,"Kill, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
37,"Kill, Nothing, Safe, Leave, Free, Free, Free, Leave, Skip, Safe",1
37,"Kill, Nothing, Safe, Leave, Goal, Die, Free, Leave, Skip, Safe",1
37,"Skip, Nothing, Safe, Leave, Free, Die, Free, Join, Skip, Safe",1
38,"Kill, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
38,"Skip, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
38,"Kill, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
38,"Kill, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
38,"Kill, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
39,"Kill, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
39,"Kill, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
39,"Kill, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
39,"Kill, Nothing, Safe, Leave, Free, Free, Free, Leave, Skip, Safe",1
39,"Kill, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
40,"Kill, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
40,"Kill, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
40,"Skip, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
40,"Kill, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
40,"Skip, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
41,"Kill, Nothing, Safe, Leave, Free, Free, Free, Leave, Skip, Safe",1
41,"Skip, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
41,"Kill, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
41,"Skip, Nothing, Safe, Leave, Free, Die, Free, Join, Skip, Safe",1
41,"Kill, Nothing, Safe, Leave, Free, Free, Free, Leave, Skip, Safe",1
42,"Kill, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
42,"Kill, Nothing, Safe, Leave, Free, Free, Free, Leave, Skip, Safe",1
42,"Skip, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
42,"Kill, Nothing, Safe, Leave, Free, Free, Free, Leave, Skip, Safe",1
42,"Kill, Nothing, Safe, Leave, Free, Free, Free, Leave, Skip, Safe",1
43,"Kill, Nothing, Safe, Leave, Free, Free, Free, Leave, Skip, Safe",1
43,"Skip, Nothing, Safe, Leave, Free, Free, Free, Join, Skip, Safe",1
43,"Kill, Nothing, Safe, Leave, Free, Free, Free, Leave, Skip, Safe",1
43,"Kill, Nothing, Safe, Leave, Free, Free, Free, Leave, Skip, Safe",1
43,"Skip, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
44,"Kill, Nothing, Safe, Leave, Free, Free, Free, Leave, Skip, Safe",1
44,"Skip, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
44,"Kill, Nothing, Safe, Leave, Free, Free, Free, Leave, Skip, Safe",1
44,"Kill, Nothing, Safe, Leave, Free, Free, Free, Leave, Skip, Safe",1
44,"Kill, Nothing, Safe, Leave, Free, Free, Free, Leave, Skip, Safe",1
45,"Kill, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
45,"Kill, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
45,"Kill, Nothing, Safe, Leave, Free, Free, Free, Leave, Skip, Safe",1
45,"Skip, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
45,"Kill, Nothing, Safe, Leave, Free, Free, Free, Leave, Skip, Safe",1
46,"Skip, Nothing, Safe, Leave, Free, Free, Free, Leave, Skip, Safe",1
46,"Kill, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
46,"Kill, Nothing, Safe, Leave, Free, Free, Free, Leave, Skip, Safe",1
46,"Kill, Nothing, Safe, Leave, Free, Free, Free, Leave, Skip, Safe",1
46,"Skip, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
47,"Kill, Nothing, Safe, Leave, Free, Free, Free, Leave, Skip, Safe",1
47,"Kill, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
47,"Kill, Nothing, Safe, Leave, Free, Free, Free, Leave, Skip, Safe",1
47,"Kill, Nothing, Safe, Leave, Free, Free, Free, Leave, Skip, Safe",1
47,"Kill, Nothing, Safe, Leave, Free, Free, Free, Leave, Skip, Safe",1
48,"Kill, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
48,"Kill, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
48,"Kill, Nothing, Safe, Leave, Free, Free, Free, Leave, Skip, Safe",1
48,"Kill, Nothing, Safe, Leave, Free, Free, Free, Leave, Skip, Safe",1
48,"Kill, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
49,"Kill, Nothing, Safe, Leave, Free, Free, Free, Leave, Skip, Safe",1
49,"Kill, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
49,"Kill, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
49,"Kill, Nothing, Safe, Leave, Free, Free, Free, Leave, Skip, Safe",1
49,"Kill, Nothing, Safe, Leave, Free, Die, Free, Leave, Skip, Safe",1
